isin,name
LU0496786574,Amundi Core S&P 500 Swap UCITS ETF EUR Dist
LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc
LU1437016972,Amundi Index MSCI World UCITS ETF DR (C)
LU1681045370,Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc
LU1681043599,Amundi MSCI World Swap UCITS ETF EUR Acc
LU1681038243,Amundi Nasdaq-100 Swap UCITS ETF EUR Acc
FR0013412020,Amundi PEA Emergent (MSCI Emerging) ESG Transition UCITS ETF Acc
FR0011871128,Amundi PEA S&P 500 UCITS ETF Acc
FR0011550185,BNP Paribas Easy S&P 500 UCITS ETF EUR
IE00B3YCGJ38,Invesco S&P 500 UCITS ETF Acc
IE00BYML9W36,Invesco S&P 500 UCITS ETF Dist
IE00BYZK4552,iShares Automation & Robotics UCITS ETF
IE00B3F81R35,iShares Core EUR Corporate Bond UCITS ETF (Dist)
IE00B4WXJJ64,iShares Core Euro Government Bond UCITS ETF (Dist)
IE00BD45KH83,iShares Core MSCI Emerging Markets IMI UCITS ETF
IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)
IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc)
IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc)
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc)
IE00BFNM3P36,iShares MSCI EM IMI Screened UCITS ETF USD (Acc)
IE00BFNM3J75,iShares MSCI World Screened UCITS ETF USD (Acc)
IE00BF4RFH31,iShares MSCI World Small Cap UCITS ETF
IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc)
FR0010296061,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist
FR0011869353,Lyxor PEA Monde (MSCI World) UCITS ETF - Capi
IE00B44Z5B48,State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc)
IE00BFY0GT14,State Street SPDR MSCI World UCITS ETF USD Unhedged
IE00BD4TYL27,UBS Core MSCI USA UCITS ETF CHF Hedged acc
IE00BMC38736,VanEck Semiconductor UCITS ETF
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating
IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing
IE00B945VV12,Vanguard FTSE Developed Europe UCITS ETF Distributing
IE00BKX55T58,Vanguard FTSE Developed World UCITS ETF Distributing
IE00B3VVMM84,Vanguard FTSE Emerging Markets UCITS ETF (USD) Distributing
IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating
IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing
IE00BGV5VN51,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C
IE00BM67HK77,Xtrackers MSCI World Health Care UCITS ETF 1C
LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C
